Inicial Upcard Acoes Final Valor DealerFinal
KK 3 S KK 20 39J
9T 3 S 9T 19 39J
QK 3 S QK 20 39J
44 3 HS 449 17 39J
5Q 3 S 5Q 15 34JA
38 3 D 38J 21 34JA
QA 3 - QA 21 34JA
45 3 D 45Q 19 34JA
AA 3 P AA 12 34JA
QA 3 - QA 21 34JA
49 3 S 49 13 34JA
29 3 D 299 20 34JA
4J 3 S 4J 14 3359
TA 3 - TA 21 3359
KK 3 S KK 20 3359
34 3 HS 34T 17 3359
4J 3 S 4J 14 3359
8T 3 S 8T 18 3359
49 3 S 49 13 3359
6T 7 H 6TQ 26 7K
48 7 HS 478 19 7K
5J 7 HH 55JA 21 7K
5K 7 H 57K 22 7K
38 7 D 388 19 7K
23 7 HH 238T 23 7K
48 7 HH 48QA 23 7K
TQ 6 S TQ 20 666
89 6 S 89 17 666
49 6 S 49 13 666
7J 6 S 7J 17 666
24 6 HS 24T 16 666
3T 6 S 3T 13 666
36 6 D 366 15 666
TQ J S TQ 20 9J
47 J D 347 14 9J
35 J HS 35T 18 9J
36 J HS 369 18 9J
68 J H 68T 24 9J
24 J HH 24QQ 26 9J
46 J HHS 2468 20 9J
9K 9 S 9K 19 579
TJ 9 S TJ 20 579
TA 9 - TA 21 579
26 9 HS 26A 19 579
58 9 HS 578 20 579
3J 9 HS 34J 17 579
2J 9 H 2JK 22 579
3K 3 S 3K 13 39T
TJ 3 S TJ 20 39T
7T 3 S 7T 17 39T
4Q 3 S 4Q 14 39T
24 3 HS 24K 16 39T
TQ 3 S TQ 20 39T
7T 3 S 7T 17 39T
7T 9 S 7T 17 349J
JQ 9 S JQ 20 349J
45 9 HHS 4457 20 349J
27 9 HS 27A 20 349J
JQ 9 S JQ 20 349J
47 9 D 47T 21 349J
6T 9 H 6TJ 26 349J
9J J S 9J 19 JA
7J J S 7J 17 JA
5A J HHH 2577A 22 JA
34 J HHS 334K 20 JA
35 J HS 359 17 JA
4A J H 46A 21 JA
58 J H 58Q 23 JA
66 K HHS 2366 17 KK
9J K S 9J 19 KK
7K K S 7K 17 KK
3T K H 38T 21 KK
5K K HS 55K 20 KK
23 K HH 2389 22 KK
89 K S 89 17 KK
49 7 H 49Q 23 579
9T 7 S 9T 19 579
2T 7 H 2TQ 22 579
58 7 HS 458 17 579
57 7 HH 2577 21 579
2J 7 H 2TJ 22 579
3A 7 HS 36A 20 579
8K A S 8K 18 7A
5T A H 56T 21 7A
46 A HS 46J 20 7A
JK A S JK 20 7A
QK A S QK 20 7A
44 A HS 44T 18 7A
4J A H 4JJ 24 7A
36 5 D 36A 20 5TQ
27 5 D 277 16 5TQ
56 5 D 567 18 5TQ
78 5 S 78 15 5TQ
33 5 P 3J 13 5TQ
37 5 HS 337 13 5TQ
JA 5 - JA 21 5TQ
KA 5 - KA 21 5TQ
6T J H 6TQ 26 JA
TK J S TK 20 JA
78 J H 789 24 JA
26 J HHHS 22346 17 JA
25 J HD 2245 13 JA
8Q J S 8Q 18 JA
KA J - KA 21 JA
6J 6 S 6J 16 3466
8A 6 D 8TA 19 3466
89 6 S 89 17 3466
8J 6 S 8J 18 3466
3A 6 D 3QA 14 3466
36 6 D 336 12 3466
4T 6 S 4T 14 3466
37 A HS 37T 20 7A
79 A H 79K 26 7A
5Q A H 5JQ 25 7A
49 A HS 469 19 7A
5T A H 58T 23 7A
7A A HS 7JA 18 7A
2Q A H 29Q 21 7A
JJ Q S JJ 20 QA
6K Q HS 36K 19 QA
5K Q HS 55K 20 QA
2T Q HH 24TK 26 QA
5Q Q H 5QK 25 QA
35 Q HH 357Q 25 QA
4A Q HHS 478A 20 QA
67 K HHS 367A 17 TK
TA K - TA 21 TK
9Q K S 9Q 19 TK
8T K S 8T 18 TK
2K K H 29K 21 TK
79 K HS 379 19 TK
TT K S TT 20 TK
38 2 D 38T 21 28K
2J 2 HS 26J 18 28K
7A 2 S 7A 18 28K
JQ 2 S JQ 20 28K
48 2 HS 478 19 28K
3J 2 S 3J 13 28K
7J 2 S 7J 17 28K
8Q Q S 8Q 18 2QK
8A Q S 8A 19 2QK
49 Q HH 49TA 24 2QK
8A Q S 8A 19 2QK
6A Q HS 6KA 17 2QK
7T Q S 7T 17 2QK
3K Q H 3TK 23 2QK
25 7 HS 25Q 17 578
7T 7 S 7T 17 578
2J 7 H 29J 21 578
8J 7 S 8J 18 578
7T 7 S 7T 17 578
68 7 H 688 22 578
38 7 D 38J 21 578
JK 7 S JK 20 7K
48 7 HS 478 19 7K
35 7 HS 35K 18 7K
9K 7 S 9K 19 7K
6Q 7 H 6QK 26 7K
68 7 HH 68QA 25 7K
33 7 P 37 10 7K
35 7 HS 35K 18 7K
7A 6 D 47A 12 69Q
8Q 6 S 8Q 18 69Q
7J 6 S 7J 17 69Q
44 6 HS 44Q 18 69Q
4J 6 S 4J 14 69Q
8A 6 D 48A 13 69Q
29 6 D 259 16 69Q
56 3 D 569 20 38T
4A 3 HH 45AA 21 38T
QQ 3 S QQ 20 38T
56 3 D 256 13 38T
36 3 D 236 11 38T
8Q 3 S 8Q 18 38T
6T 3 S 6T 16 38T
33 9 HH 339T 25 459
28 9 D 28J 20 459
3J 9 HH 3JQA 24 459
49 9 HHS 2349 18 459
5K 9 H 56K 21 459
3T 9 H 39T 22 459
6K 9 H 6QK 26 459
9K Q S 9K 19 7Q
3T Q HS 36T 19 7Q
34 Q HHHS 23446 19 7Q
8K Q S 8K 18 7Q
3K Q HS 35K 18 7Q
25 Q HS 25Q 17 7Q
TA Q - TA 21 7Q
9K 7 S 9K 19 77K
8K 7 S 8K 18 77K
34 7 HS 34Q 17 77K
7Q 7 S 7Q 17 77K
4T 7 HS 44T 18 77K
28 7 D 278 17 77K
4A 7 HHS 34JA 18 77K
3J J HS 37J 20 JQ
66 J HS 666 18 JQ
23 J HHHS 23TAA 17 JQ
29 J D 259 16 JQ
5T J H 56T 21 JQ
26 J HH 2667 21 JQ
8Q J S 8Q 18 JQ
27 Q HS 27K 19 QK
69 Q H 69K 25 QK
2K Q HS 28K 20 QK
3K Q HS 34K 17 QK
6A Q HS 6KA 17 QK
58 Q H 58T 23 QK
3K Q HS 34K 17 QK
23 5 HS 239 14 59Q
27 5 D 27K 19 59Q
6Q 5 S 6Q 16 59Q
68 5 S 68 14 59Q
4Q 5 S 4Q 14 59Q
5J 5 S 5J 15 59Q
27 5 D 27T 19 59Q
7A 2 S 7A 18 267K
5A 2 HS 5JA 16 267K
7A 2 S 7A 18 267K
7K 2 S 7K 17 267K
2J 2 H 2JQ 22 267K
88 2 P 78 15 267K
38 2 H 38Q 21 267K
25 2 HS 258 15 267K
36 T HS 36A 20 TA
68 T H 689 23 TA
TJ T S TJ 20 TA
2A T HHH 229TA 24 TA
TA T - TA 21 TA
8Q T S 8Q 18 TA
56 T D 356 14 TA
78 T H 78K 25 TT
7T T S 7T 17 TT
6J T H 67J 23 TT
47 T D 47J 21 TT
QK T S QK 20 TT
4Q T H 4JQ 24 TT
4T T H 4TK 24 TT
48 2 H 48Q 22 2257A
6A 2 HS 26A 19 2257A
3J 2 S 3J 13 2257A
47 2 D 457 16 2257A
TT 2 S TT 20 2257A
48 2 H 48K 22 2257A
3T 2 S 3T 13 2257A
TK A S TK 20 8A
49 A HS 469 19 8A
4J A HS 46J 20 8A
66 A H 66J 22 8A
2T A HH 22TJ 24 8A
37 A HS 379 19 8A
35 A HH 357K 25 8A
23 K HH 238K 23 JK
23 K HHS 235Q 20 JK
AA K P QA 21 JK
QA K - QA 21 JK
8T K S 8T 18 JK
9J K S 9J 19 JK
4Q K H 4QK 24 JK
5T K HS 25T 17 JK
79 9 HS 379 19 49Q
4T 9 HHH 49TAA 25 49Q
TA 9 - TA 21 49Q
88 9 P 58 13 49Q
38 9 HHS 358A 17 49Q
24 9 HHS 234J 19 49Q
8K 9 S 8K 18 49Q
2A 9 H 28A 21 49Q
6J Q H 68J 24 QQ
4T Q HHS 234T 19 QQ
88 Q P 38 11 QQ
8T Q S 8T 18 QQ
35 Q HD 335Q 21 QQ
KA Q - KA 21 QQ
89 Q S 89 17 QQ
4Q Q H 4JQ 24 QQ
29 2 D 259 16 225J
QK 2 S QK 20 225J
7Q 2 S 7Q 17 225J
TQ 2 S TQ 20 225J
36 2 HS 36A 20 225J
9Q 2 S 9Q 19 225J
2Q 2 HS 24Q 16 225J
5T 5 S 5T 15 56J
QA 5 - QA 21 56J
5A 5 D 5QA 16 56J
7J 5 S 7J 17 56J
27 5 D 237 12 56J
35 5 HS 35K 18 56J
8Q 5 S 8Q 18 56J
28 T HS 28T 20 49T
48 T H 48K 22 49T
9A T S 9A 20 49T
66 T HHHS 366AA 17 49T
TK T S TK 20 49T
23 T HH 236K 21 49T
29 T D 239 14 49T
2J Q H 2TJ 22 68Q
89 Q S 89 17 68Q
47 Q D 479 20 68Q
59 Q H 59J 24 68Q
JA Q - JA 21 68Q
2K Q HHS 244K 20 68Q
7Q Q S 7Q 17 68Q
8K 4 S 8K 18 458
8T 4 S 8T 18 458
77 4 P 7T 17 458
7Q 4 S 7Q 17 458
4T 4 S 4T 14 458
7K 4 S 7K 17 458
6T 4 S 6T 16 458
35 4 HS 35A 19 458
36 8 HHS 3456 18 888
6J 8 H 6TJ 26 888
79 8 H 789 24 888
66 8 HS 668 20 888
39 8 H 39J 22 888
3A 8 HHH 2379A 22 888
8Q 8 S 8Q 18 888
66 7 HS 667 19 57K
5J 7 H 57J 22 57K
TK 7 S TK 20 57K
36 7 HH 367K 26 57K
2A 7 HHHH 2TJAAA 25 57K
8Q 7 S 8Q 18 57K
39 7 HH 239Q 24 57K
7K 3 S 7K 17 37J
QA 3 - QA 21 37J
7T 3 S 7T 17 37J
6Q 3 S 6Q 16 37J
8Q 3 S 8Q 18 37J
23 3 HS 239 14 37J
38 3 D 38A 12 37J
45 2 HHS 345A 13 2389
58 2 S 58 13 2389
2A 2 HHS 249A 16 2389
6K 2 S 6K 16 2389
68 2 S 68 14 2389
KA 2 - KA 21 2389
28 2 D 268 16 2389
6K A H 6KK 26 29KA
47 A H 47Q 21 29KA
9K A S 9K 19 29KA
3T A HHS 223T 17 29KA
99 A S 99 18 29KA
JA A - JA 21 29KA
59 A H 59K 24 29KA
3Q 2 S 3Q 13 27A
28 2 D 288 18 27A
6T 2 S 6T 16 27A
7K 2 S 7K 17 27A
8J 2 S 8J 18 27A
JA 2 - JA 21 27A
2T 2 H 29T 21 27A
QQ K S QQ 20 QK
QK K S QK 20 QK
38 K D 389 20 QK
37 K HS 37Q 20 QK
28 K HS 28J 20 QK
TJ K S TJ 20 QK
26 K HD 2367 18 QK
9T 7 S 9T 19 7K
36 7 HS 368 17 7K
46 7 D 456 15 7K
58 7 HH 588A 22 7K
JJ 7 S JJ 20 7K
68 7 H 68T 24 7K
KA 7 - KA 21 7K
8K J S 8K 18 58J
39 J HS 389 20 58J
49 J HH 3459 21 58J
2Q J HHS 224Q 18 58J
TK J S TK 20 58J
2A J HHS 27KA 20 58J
4K J H 4QK 24 58J
68 5 S 68 14 558A
23 5 HHD 2223K 19 558A
34 5 HD 345A 13 558A
34 5 HD 3345 15 558A
3T 5 S 3T 13 558A
8T 5 S 8T 18 558A
79 5 S 79 16 558A
7Q K S 7Q 17 KK
4A K HS 45A 20 KK
67 K HS 667 19 KK
8T K S 8T 18 KK
29 K D 239 14 KK
77 K HHS 2477 20 KK
3T K HHS 35TA 19 KK
77 J HHS 2277 18 57J
46 J HS 46K 20 57J
9A J S 9A 20 57J
6K J H 6JK 26 57J
TA J - TA 21 57J
29 J D 29A 12 57J
QA J - QA 21 57J
JQ 9 S JQ 20 99
2A 9 HH 29TA 22 99
TJ 9 S TJ 20 99
QQ 9 S QQ 20 99
6K 9 HS 6KA 17 99
3J 9 H 3JK 23 99
3T 9 HS 34T 17 99
3Q T HS 34Q 17 TJ
9J T S 9J 19 TJ
29 T D 279 18 TJ
39 T H 399 21 TJ
27 T HHS 2377 19 TJ
37 T HH 3678 24 TJ
58 T HH 58TA 24 TJ
5Q 3 S 5Q 15 39T
3J 3 S 3J 13 39T
6T 3 S 6T 16 39T
3J 3 S 3J 13 39T
29 3 D 239 14 39T
57 3 HS 577 19 39T
2K 3 H 2QK 22 39T
57 9 HHHHS 457AAA 19 9J
2J 9 HS 28J 20 9J
6K 9 H 66K 22 9J
69 9 H 69J 25 9J
34 9 HS 34K 17 9J
34 9 HS 34T 17 9J
JA 9 - JA 21 9J
KK 5 S KK 20 578
5A 5 D 5QA 16 578
3J 5 S 3J 13 578
KA 5 - KA 21 578
4Q 5 S 4Q 14 578
34 5 HS 345 12 578
45 5 D 45K 19 578
TA A - TA 21 25A
9K A S 9K 19 25A
36 A HH 346T 23 25A
45 A HS 45T 19 25A
6J A H 6TJ 26 25A
28 A HS 288 18 25A
7T A S 7T 17 25A
29 2 D 29J 21 27J
45 2 HS 445 13 27J
3Q 2 S 3Q 13 27J
22 2 HHS 2248 16 27J
8K 2 S 8K 18 27J
4J 2 S 4J 14 27J
JK 2 S JK 20 27J
57 T H 57J 22 9T
89 T S 89 17 9T
48 T H 48K 22 9T
5J T H 5JQ 25 9T
6K T HS 26K 18 9T
55 T HS 55K 20 9T
6Q T H 6TQ 26 9T
25 Q HHHH 2255QA 25 8Q
89 Q S 89 17 8Q
9A Q S 9A 20 8Q
38 Q D 358 16 8Q
9K Q S 9K 19 8Q
6A Q H 46A 21 8Q
38 Q D 338 14 8Q
49 3 S 49 13 34J
8A 3 S 8A 19 34J
JK 3 S JK 20 34J
2J 3 H 29J 21 34J
37 3 D 37T 20 34J
3T 3 S 3T 13 34J
TQ 3 S TQ 20 34J
47 K D 457 16 48K
49 K H 49K 23 48K
2K K H 2TK 22 48K
7A K HS 27A 20 48K
2K K HH 2KKA 23 48K
55 K HS 558 18 48K
9J K S 9J 19 48K
3T J HHS 234T 19 7J
27 J HS 278 17 7J
8Q J S 8Q 18 7J
QK J S QK 20 7J
28 J HS 28Q 20 7J
QQ J S QQ 20 7J
9J J S 9J 19 7J
JK Q S JK 20 2QQ
6K Q H 66K 22 2QQ
4A Q HH 46TA 21 2QQ
JQ Q S JQ 20 2QQ
2K Q H 2TK 22 2QQ
34 Q HS 34T 17 2QQ
9J Q S 9J 19 2QQ
6Q 5 S 6Q 16 57QA
6Q 5 S 6Q 16 57QA
77 5 P 47 11 57QA
67 5 S 67 13 57QA
8T 5 S 8T 18 57QA
6K 5 S 6K 16 57QA
6A 5 D 56A 12 57QA
5A 5 D 25A 18 57QA
4K 3 S 4K 14 3479
89 3 S 89 17 3479
6Q 3 S 6Q 16 3479
56 3 D 56J 21 3479
TK 3 S TK 20 3479
TQ 3 S TQ 20 3479
4Q 3 S 4Q 14 3479
56 4 D 56Q 21 4QK
8T 4 S 8T 18 4QK
4K 4 S 4K 14 4QK
29 4 D 239 14 4QK
35 4 HS 345 12 4QK
36 4 D 36K 19 4QK
3J 4 S 3J 13 4QK
46 8 D 46Q 20 2289
4K 8 HS 44K 18 2289
JA 8 - JA 21 2289
5A 8 HS 35A 19 2289
38 8 D 368 17 2289
27 8 HH 277T 26 2289
23 8 HHH 237JA 23 2289
2A 4 HS 2KA 13 446Q
89 4 S 89 17 446Q
23 4 HS 23T 15 446Q
JK 4 S JK 20 446Q
4T 4 S 4T 14 446Q
88 4 P 38 11 446Q
8K 4 S 8K 18 446Q
5T 4 S 5T 15 446Q
2K T HH 239K 24 6TT
2T T HS 28T 20 6TT
68 T HS 468 18 6TT
3A T H 37A 21 6TT
TJ T S TJ 20 6TT
JA T - JA 21 6TT
JA T - JA 21 6TT
JQ 2 S JQ 20 26A
2J 2 HS 23J 15 26A
5T 2 S 5T 15 26A
8A 2 S 8A 19 26A
4T 2 S 4T 14 26A
23 2 HHS 2236 13 26A
9J 2 S 9J 19 26A
26 6 HD 269A 18 6JQ
25 6 HS 259 16 6JQ
6K 6 S 6K 16 6JQ
4J 6 S 4J 14 6JQ
45 6 D 45Q 19 6JQ
2Q 6 S 2Q 12 6JQ
4A 6 D 4QA 15 6JQ
36 8 HS 368 17 89
9J 8 S 9J 19 89
48 8 H 489 21 89
2J 8 H 2JK 22 89
4J 8 HS 44J 18 89
3T 8 HHS 33TA 17 89
49 8 HHS 349A 17 89
5J 7 H 57J 22 79A
6J 7 HS 36J 19 79A
79 7 H 679 22 79A
44 7 HS 44Q 18 79A
56 7 D 56J 21 79A
7J 7 S 7J 17 79A
5T 7 H 56T 21 79A
JJ J S JJ 20 TJ
4A J HHHS 447AA 17 TJ
3A J HHH 338KA 25 TJ
KK J S KK 20 TJ
TQ J S TQ 20 TJ
7Q J S 7Q 17 TJ
7A J HHS 467A 18 TJ
3J J HS 37J 20 4TJ
6J J H 6JJ 26 4TJ
2T J HH 22TQ 24 4TJ
3A J HHS 36QA 20 4TJ
3J J H 3TJ 23 4TJ
5A J HHH 59JAA 26 4TJ
TA J - TA 21 4TJ
28 3 D 28T 20 378
28 3 D 288 18 378
7T 3 S 7T 17 378
7K 3 S 7K 17 378
6J 3 S 6J 16 378
KA 3 - KA 21 378
4Q 3 S 4Q 14 378
AA 9 P QA 21 389A
QA 9 - QA 21 389A
48 9 HS 488 20 389A
7K 9 S 7K 17 389A
2Q 9 H 2QQ 22 389A
66 9 H 669 21 389A
47 9 D 47T 21 389A
6J 9 H 6JK 26 389A
8Q 4 S 8Q 18 4567
7K 4 S 7K 17 4567
67 4 S 67 13 4567
57 4 S 57 12 4567
KA 4 - KA 21 4567
38 4 D 38A 12 4567
8K 4 S 8K 18 4567
5T A H 57T 22 4JKA
35 A HHH 23458 22 4JKA
2Q A H 29Q 21 4JKA
4J A H 49J 23 4JKA
56 A HH 456K 25 4JKA
8T A S 8T 18 4JKA
79 A H 779 23 4JKA
4Q 7 H 48Q 22 257K
7Q 7 S 7Q 17 257K
5Q 7 HS 55Q 20 257K
7J 7 S 7J 17 257K
4Q 7 HS 44Q 18 257K
49 7 H 499 22 257K
TQ 7 S TQ 20 257K
6T T HS 46T 20 44T
5Q T H 5JQ 25 44T
5K T HS 35K 18 44T
5J T HH 57JA 23 44T
22 T HH 229J 23 44T
9J T S 9J 19 44T
38 T D 38Q 21 44T
6Q Q H 56Q 21 7Q
39 Q HHH 39TAA 24 7Q
6T Q H 69T 25 7Q
JA Q - JA 21 7Q
JQ Q S JQ 20 7Q
2K Q HS 25K 17 7Q
JK Q S JK 20 7Q
4Q Q H 4QK 24 28Q
9K Q S 9K 19 28Q
6T Q H 6TK 26 28Q
7K Q S 7K 17 28Q
25 Q HS 25T 17 28Q
QA Q - QA 21 28Q
44 Q HS 44A 19 28Q
58 Q HS 578 20 7Q
8Q Q S 8Q 18 7Q
48 Q HS 458 17 7Q
4A Q HHHS 249AA 17 7Q
TK Q S TK 20 7Q
2T Q H 2TJ 22 7Q
6T Q HS 46T 20 7Q
25 8 HS 25Q 17 88Q
JQ 8 S JQ 20 88Q
3K 8 H 3QK 23 88Q
4T 8 HS 34T 17 88Q
47 8 D 457 16 88Q
36 8 HD 2346 15 88Q
TK 8 S TK 20 88Q
5A Q HH 59JA 25 QK
49 Q H 49Q 23 QK
37 Q HH 3579 24 QK
89 Q S 89 17 QK
6Q Q H 6JQ 26 QK
TJ Q S TJ 20 QK
23 Q HHHS 2367A 19 QK
7K 2 S 7K 17 246T
JA 2 - JA 21 246T
28 2 D 28T 20 246T
7Q 2 S 7Q 17 246T
3J 2 S 3J 13 246T
37 2 D 347 14 246T
38 2 D 368 17 246T
5K A HS 25K 17 8AA
3J A HH 339J 25 8AA
26 A HHS 2567 20 8AA
49 A HH 49JA 24 8AA
89 A S 89 17 8AA
9K A S 9K 19 8AA
29 A H 29Q 21 8AA
24 4 HS 24K 16 45TAA
KK 4 S KK 20 45TAA
27 4 D 279 18 45TAA
KA 4 - KA 21 45TAA
27 4 D 27K 19 45TAA
39 4 S 39 12 45TAA
TQ 4 S TQ 20 45TAA
7J 7 S 7J 17 379
8K 7 S 8K 18 379
38 7 D 378 18 379
7A 7 S 7A 18 379
67 7 HS 567 18 379
7Q 7 S 7Q 17 379
8J 7 S 8J 18 379
69 3 S 69 15 23348
JK 3 S JK 20 23348
JK 3 S JK 20 23348
67 3 S 67 13 23348
58 3 S 58 13 23348
6K 3 S 6K 16 23348
5T 3 S 5T 15 23348
36 5 D 36K 19 59T
44 5 HS 446 14 59T
2K 5 S 2K 12 59T
QA 5 - QA 21 59T
JA 5 - JA 21 59T
78 5 S 78 15 59T
67 5 S 67 13 59T
37 6 D 357 15 6TJ
JK 6 S JK 20 6TJ
TQ 6 S TQ 20 6TJ
2T 6 S 2T 12 6TJ
3T 6 S 3T 13 6TJ
9Q 6 S 9Q 19 6TJ
9T 6 S 9T 19 6TJ
8A A S 8A 19 KA
2K A H 29K 21 KA
26 A HS 26Q 18 KA
35 A HS 35T 18 KA
35 A HHHH 2345QA 25 KA
56 A HS 569 20 KA
8A A S 8A 19 KA
KA 3 - KA 21 2334Q
66 3 P 67 13 2334Q
6T 3 S 6T 16 2334Q
7A 3 D 67A 14 2334Q
2J 3 H 2JK 22 2334Q
4K 3 S 4K 14 2334Q
TA 3 - TA 21 2334Q
59 3 S 59 14 2334Q
7T J S 7T 17 7J
48 J HS 468 18 7J
3T J HH 3TQA 24 7J
2T J H 2TT 22 7J
TA J - TA 21 7J
68 J HHH 689AA 25 7J
JA J - JA 21 7J
26 K HS 26A 19 45K
49 K H 49T 23 45K
TQ K S TQ 20 45K
JK K S JK 20 45K
2K K HS 25K 17 45K
57 K H 57Q 22 45K
9Q K S 9Q 19 45K
4Q T H 47Q 21 TA
5T T HS 25T 17 TA
48 T HHS 448A 17 TA
35 T HS 35Q 18 TA
3T T HH 33TQ 26 TA
2T T H 2TK 22 TA
78 T HS 578 20 TA
5T 3 S 5T 15 333K
2A 3 HD 24TA 17 333K
45 3 D 45K 19 333K
48 3 HS 348 15 333K
2Q 3 H 2JQ 22 333K
22 3 HD 225K 19 333K
6Q 3 S 6Q 16 333K
9A 8 S 9A 20 8T
JQ 8 S JQ 20 8T
28 8 D 238 13 8T
8K 8 S 8K 18 8T
QA 8 - QA 21 8T
2Q 8 HS 27Q 19 8T
56 8 D 56J 21 8T
5Q J H 5TQ 25 9J
45 J HS 45T 19 9J
JK J S JK 20 9J
QK J S QK 20 9J
66 J H 66Q 22 9J
3T J HS 37T 20 9J
56 J D 56J 21 9J
AA 3 P 5A 16 3467
6A 3 - 6A 17 3467
7Q 3 S 7Q 17 3467
3K 3 S 3K 13 3467
6T 3 S 6T 16 3467
4Q 3 S 4Q 14 3467
3T 3 S 3T 13 3467
39 3 HS 379 19 3467
69 3 S 69 15 337K
5Q 3 S 5Q 15 337K
4T 3 S 4T 14 337K
4T 3 S 4T 14 337K
34 3 HD 234T 19 337K
JA 3 - JA 21 337K
4J 3 S 4J 14 337K
9K J S 9K 19 6JK
46 J HH 246Q 22 6JK
7K J S 7K 17 6JK
JK J S JK 20 6JK
4Q J HH 249Q 25 6JK
45 J HS 45J 19 6JK
5K J HS 25K 17 6JK
8T 4 S 8T 18 348TA
67 4 S 67 13 348TA
67 4 S 67 13 348TA
2Q 4 S 2Q 12 348TA
5K 4 S 5K 15 348TA
2J 4 S 2J 12 348TA
4Q 4 S 4Q 14 348TA
5Q T H 59Q 24 TA
TK T S TK 20 TA
58 T H 589 22 TA
JJ T S JJ 20 TA
4K T HH 249K 25 TA
47 T D 467 17 TA
2T T H 2TK 22 TA
JQ K S JQ 20 8K
49 K HS 469 19 8K
3Q K H 3QK 23 8K
8A K S 8A 19 8K
7J K S 7J 17 8K
35 K HHH 345TA 23 8K
56 K D 356 14 8K
26 K HS 26K 18 TK
46 K HS 46Q 20 TK
59 K H 59Q 24 TK
5K K H 58K 23 TK
88 K P 58 13 TK
68 K HS 568 19 TK
45 K HS 458 17 TK
JJ K S JJ 20 TK
9A J S 9A 20 9J
4T J HHS 224T 18 9J
48 J H 48T 22 9J
4Q J HS 34Q 17 9J
79 J H 79K 26 9J
QK J S QK 20 9J
8K J S 8K 18 9J
7K J S 7K 17 JA
69 J HS 469 19 JA
46 J HS 46T 20 JA
2Q J HS 25Q 17 JA
5K J HS 35K 18 JA
58 J HS 458 17 JA
TA J - TA 21 JA
89 A S 89 17 35A
2K A H 2QK 22 35A
67 A H 679 22 35A
TQ A S TQ 20 35A
23 A HH 237Q 22 35A
2T A H 2TQ 22 35A
TQ A S TQ 20 35A
8Q 5 S 8Q 18 4558
34 5 HS 34T 17 4558
3A 5 D 3AA 15 4558
33 5 P 33 6 4558
3J 5 S 3J 13 4558
89 5 S 89 17 4558
3J 5 S 3J 13 4558
24 5 HD 245Q 21 4558
34 Q HH 348Q 25 5QK
6Q Q H 69Q 25 5QK
JJ Q S JJ 20 5QK
57 Q H 57K 22 5QK
4A Q HS 45A 20 5QK
4J Q H 49J 23 5QK
34 Q HS 34K 17 5QK
3K K HS 37K 20 KA
TQ K S TQ 20 KA
34 K HS 34K 17 KA
56 K D 56A 12 KA
58 K HHS 2558 20 KA
37 K HS 37Q 20 KA
24 K HHD 22234 13 KA
3A 5 D 3TA 14 589A
JK 5 S JK 20 589A
8A 5 S 8A 19 589A
6J 5 S 6J 16 589A
6K 5 S 6K 16 589A
49 5 S 49 13 589A
TK 5 S TK 20 589A
3T A H 3TT 23 9A
58 A HH 258Q 25 9A
23 A HHS 233K 18 9A
TQ A S TQ 20 9A
5J A HS 55J 20 9A
QA A - QA 21 9A
5Q A H 5QQ 25 9A
QK 7 S QK 20 7Q
3Q 7 HS 37Q 20 7Q
48 7 HS 468 18 7Q
48 7 HS 468 18 7Q
TT 7 S TT 20 7Q
4A 7 HS 45A 20 7Q
QK 7 S QK 20 7Q
34 T HH 346T 23 9T
9A T S 9A 20 9T
JJ T S JJ 20 9T
7K T S 7K 17 9T
37 T HS 37T 20 9T
JA T - JA 21 9T
5T T H 5TK 25 9T
48 9 HHH 248KA 25 9T
9Q 9 S 9Q 19 9T
4Q 9 HHS 45QA 20 9T
6A 9 HS 26A 19 9T
46 9 D 456 15 9T
7A 9 HHS 667A 20 9T
4K 9 H 4KK 24 9T
35 T HHH 23459 23 233T
7K T S 7K 17 233T
56 T D 556 16 233T
QQ T S QQ 20 233T
3J T HH 33TJ 26 233T
8T T S 8T 18 233T
2T T HH 24TK 26 233T
8T 3 S 8T 18 236Q
9A 3 S 9A 20 236Q
78 3 S 78 15 236Q
27 3 D 257 14 236Q
5K 3 S 5K 15 236Q
TK 3 S TK 20 236Q
6T 3 S 6T 16 236Q
4Q A HS 46Q 20 23AA
6K A H 67K 23 23AA
27 A HHH 2257T 26 23AA
5Q A H 58Q 23 23AA
3T A HH 339T 25 23AA
5K A H 5QK 25 23AA
57 A HH 57JA 23 23AA
89 6 S 89 17 67K
5Q 6 S 5Q 15 67K
56 6 D 56A 12 67K
9A 6 S 9A 20 67K
7K 6 S 7K 17 67K
25 6 HS 25Q 17 67K
67 6 S 67 13 67K
3K 3 S 3K 13 38T
TJ 3 S TJ 20 38T
5Q 3 S 5Q 15 38T
JQ 3 S JQ 20 38T
3J 3 S 3J 13 38T
57 3 HS 567 18 38T
67 3 S 67 13 38T
2K 2 H 2QK 22 2TQ
KK 2 S KK 20 2TQ
9Q 2 S 9Q 19 2TQ
7A 2 S 7A 18 2TQ
26 2 HD 2356 16 2TQ
9Q 2 S 9Q 19 2TQ
5K 2 S 5K 15 2TQ
49 T HH 489A 22 34T
29 T D 299 20 34T
77 T H 777 21 34T
8Q T S 8Q 18 34T
JA T - JA 21 34T
24 T HHS 224J 18 34T
39 T HS 369 18 34T
2K 5 S 2K 12 56T
2T 5 S 2T 12 56T
38 5 D 38Q 21 56T
JA 5 - JA 21 56T
4Q 5 S 4Q 14 56T
TK 5 S TK 20 56T
57 5 S 57 12 56T
